name,x,y,z
1,3,9,2
2,9,9,3
3,14,5,3
4,16,6,5
5,11,6,2
6,16,9,2
7,11,11,2
8,4,15,3
9,14,11,2
10,1,4,4
11,11,4,2
12,8,15,4
13,13,11,7
14,2,6,7
15,4,2,2
16,4,9,1
17,13,9,6
18,15,3,4
19,13,13,2
20,2,7,6
21,12,3,4
22,10,13,5
23,13,5,6
24,11,11,6
25,12,13,5
26,14,9,4
27,9,7,1
28,3,2,3
29,15,2,3
30,6,14,2
31,9,14,5
32,9,13,3
33,9,3,3
34,12,4,7
35,2,10,7
36,13,11,4
37,3,12,5
38,2,8,4
39,15,10,7
40,2,8,2
41,6,7,3
42,7,6,1
43,5,8,5
44,11,12,5
45,11,3,3
46,15,10,1
47,15,8,7
48,8,12,6
49,13,11,5
50,15,11,5
