name,x,y,z
1,14,2,2
2,3,14,4
3,2,14,4
4,3,11,2
5,6,14,2
6,6,11,6
7,9,9,3
8,11,3,5
9,6,2,1
10,8,5,5
11,4,12,6
12,11,2,3
13,13,2,1
14,10,4,5
15,5,9,5
16,14,7,1
17,1,14,4
18,4,13,6
19,10,7,7
20,9,8,2
21,16,5,4
22,15,5,2
23,6,9,6
24,11,9,6
25,6,15,5
26,2,10,5
27,8,1,6
28,12,14,7
29,12,7,4
30,7,6,6
31,8,9,6
32,12,2,1
33,7,14,4
34,2,12,2
35,1,9,4
36,12,13,1
37,15,12,4
38,7,8,4
39,11,7,4
40,6,4,5
41,8,9,4
42,10,13,6
43,10,6,5
44,11,15,3
45,9,6,3
46,14,7,4
47,12,8,6
48,4,8,1
49,3,3,5
50,9,11,5
51,14,6,7
52,4,7,2
53,9,1,5
54,4,3,7
55,6,10,2
56,13,10,6
57,1,4,5
58,1,1,4
59,16,10,3
60,9,11,7
61,3,14,1
62,11,9,1
63,8,9,2
64,4,14,4
65,3,8,4
66,11,8,7
67,1,13,4
68,1,8,2
69,8,15,7
70,1,4,7
71,8,15,6
72,7,1,1
73,16,7,7
74,6,5,2
75,14,3,3
76,10,10,4
77,4,3,4
78,6,2,2
79,11,9,3
80,6,8,7
81,11,10,1
82,1,11,1
83,16,2,3
84,10,9,1
