name,x,y,z
1,16,9,1
2,5,1,3
3,15,2,6
4,1,1,7
5,2,7,1
6,15,1,6
7,12,4,4
8,4,14,7
9,14,1,7
10,9,6,3
11,4,2,4
12,14,1,4
13,8,12,5
14,11,14,1
15,5,1,5
16,11,9,7
17,9,14,2
18,3,1,3
19,6,5,4
20,8,5,6
21,1,13,5
22,13,10,2
23,6,5,1
24,1,14,3
25,2,8,3
26,4,6,2
27,1,2,4
28,6,12,3
29,5,11,2
30,8,13,5
31,12,14,7
32,10,5,4
33,7,12,1
34,5,8,2
35,8,4,6
36,6,9,6
37,5,12,7
38,3,1,4
39,12,10,6
40,10,11,5
41,2,14,5
42,8,6,5
43,14,10,1
44,16,8,2
45,12,5,3
46,12,8,1
47,4,14,5
48,3,13,6
49,14,13,5
50,13,15,1
51,8,13,4
52,2,15,4
53,16,8,7
54,16,14,6
55,15,12,7
56,12,13,7
57,11,9,2
58,14,5,5
59,8,5,7
60,6,6,6
61,9,2,3
62,5,6,2
63,2,14,1
64,7,11,1
65,12,10,3
66,4,4,7
67,8,2,2
68,7,2,7
69,16,13,2
70,2,11,1
71,3,11,3
72,3,3,6
73,13,8,1
74,1,15,2
75,6,3,4
76,8,5,2
77,7,8,6
78,2,1,2
79,15,13,2
80,12,14,6
81,5,10,1
82,15,10,2
83,5,13,5
84,5,15,6
85,3,13,5
86,6,9,4
87,6,14,5
88,8,9,1
89,10,9,7
90,10,4,4
