name,x,y,z
1,5,5,6
2,1,6,1
3,2,3,1
4,2,7,4
5,6,6,2
6,10,12,6
7,4,2,7
8,11,15,1
9,14,13,7
10,13,13,5
11,2,3,4
12,4,1,5
13,7,2,5
14,12,9,2
15,5,8,5
16,4,1,6
17,4,3,1
18,11,11,1
19,11,13,1
20,12,5,1
21,16,3,5
22,4,14,4
23,16,3,4
24,10,6,2
25,3,5,2
26,1,7,1
27,5,10,5
28,9,5,5
29,6,13,4
30,10,4,3
31,12,6,1
32,5,13,3
33,10,3,3
34,3,8,1
35,15,8,5
36,14,15,5
37,12,5,6
38,11,5,3
39,13,7,3
40,16,1,6
41,7,13,1
42,10,8,6
43,11,6,3
44,13,5,7
45,5,14,5
46,1,3,6
47,3,5,4
48,3,1,7
49,5,14,6
50,4,12,2
51,12,8,5
52,3,3,6
53,12,13,6
54,5,2,1
55,11,12,3
56,13,2,7
57,4,8,4
58,11,13,3
59,1,13,1
60,15,7,1
61,15,9,2
62,9,11,2
63,11,13,6
64,10,8,1
65,16,12,2
66,12,6,3
67,7,3,5
68,6,11,3
69,2,12,2
70,8,9,4
71,9,11,1
72,5,1,3
